|,||,||__rssi1,||__rssi2,||__rssi3,||__x1,||__x2,||__x3,||__y1,||__y2,||__y3
,1548728725880,-60,-84,-88,11,33,29,29,14.2,33.5
,1548728726989,-63,-81,-90,11,33,29,29,14.2,33.5
,1548728734836,-58,-84,-92,11,33,29,29,14.2,33.5
,1548728735945,-58,-84,-92,11,33,29,29,14.2,33.5
,1548728737070,-59,-86,-91,11,33,29,29,14.2,33.5
,1548728739289,-60,-87,-91,11,33,29,29,14.2,33.5
,1548728740414,-59,-88,-88,11,33,29,29,14.2,33.5
,1548728742665,-60,-84,-88,11,33,29,29,14.2,33.5
,1548728744900,-60,-92,-91,11,33,29,29,14.2,33.5
,1548728749369,-61,-93,-96,11,33,29,29,14.2,33.5
,1548728750495,-58,-83,-93,11,33,29,29,14.2,33.5
,1548728751605,-58,-83,-90,11,33,29,29,14.2,33.5
,1548728754949,-59,-84,-90,11,33,29,29,14.2,33.5
,1548728756075,-61,-84,-87,11,33,29,29,14.2,33.5
,1548728757184,-57,-86,-85,11,33,29,29,14.2,33.5
,1548728781033,-63,-95,-93,11,33,29,29,14.2,33.5
,1548728783268,-64,-94,-94,11,33,29,29,14.2,33.5
,1548728784377,-63,-92,-96,11,33,29,29,14.2,33.5
,1548728792221,-62,-85,-93,11,33,29,29,14.2,33.5
,1548728793332,-61,-89,-94,11,33,29,29,14.2,33.5
,1548728794441,-60,-84,-92,11,33,29,29,14.2,33.5
,1548728797800,-61,-91,-96,11,33,29,29,14.2,33.5
,1548728823492,-65,-88,-95,11,33,29,29,14.2,33.5
,1548728835809,-64,-86,-95,11,33,29,29,14.2,33.5
,1548728843620,-60,-91,-95,11,33,29,29,14.2,33.5
,1548728854759,-63,-85,-91,11,33,29,29,14.2,33.5
,1548728856994,-64,-85,-92,11,33,29,29,14.2,33.5
,1548728858119,-66,-84,-92,11,33,29,29,14.2,33.5
,1548728859246,-63,-90,-94,11,33,29,29,14.2,33.5
,1548728882686,-60,-82,-96,11,33,29,29,14.2,33.5
,1548728883791,-60,-86,-96,11,33,29,29,14.2,33.5
,1548728884900,-60,-88,-95,11,33,29,29,14.2,33.5
,1548728900434,-58,-85,-97,11,33,29,29,14.2,33.5
,1548728929431,-61,-84,-100,11,33,29,29,14.2,33.5
,1548728930539,-59,-92,-93,11,33,29,29,14.2,33.5
,1548728933899,-55,-93,-91,11,33,29,29,14.2,33.5
,1548728935024,-56,-92,-91,11,33,29,29,14.2,33.5
,1548728946212,-57,-91,-90,11,33,29,29,14.2,33.5
,1548728947338,-58,-95,-91,11,33,29,29,14.2,33.5
,1548728948447,-56,-93,-94,11,33,29,29,14.2,33.5
,1548728951790,-55,-91,-94,11,33,29,29,14.2,33.5
,1548728959635,-56,-85,-90,11,33,29,29,14.2,33.5
,1548728962995,-56,-95,-89,11,33,29,29,14.2,33.5
,1548728964120,-52,-89,-91,11,33,29,29,14.2,33.5
,1548728971948,-61,-91,-95,11,33,29,29,14.2,33.5
,1548728976416,-55,-89,-90,11,33,29,29,14.2,33.5
,1548728979761,-57,-91,-91,11,33,29,29,14.2,33.5
,1548728988716,-64,-88,-99,11,33,29,29,14.2,33.5
,1548728989825,-57,-90,-91,11,33,29,29,14.2,33.5
,1548729006641,-55,-87,-91,11,33,29,29,14.2,33.5
,1548729014452,-59,-94,-93,11,33,29,29,14.2,33.5
,1548729016686,-58,-91,-97,11,33,29,29,14.2,33.5
,1548729018902,-68,-87,-91,11,33,29,29,14.2,33.5
,1548729025622,-63,-90,-93,11,33,29,29,14.2,33.5
,1548729026747,-60,-88,-93,11,33,29,29,14.2,33.5
,1548729028982,-58,-89,-94,11,33,29,29,14.2,33.5
,1548729032341,-66,-88,-94,11,33,29,29,14.2,33.5
,1548729033466,-67,-93,-94,11,33,29,29,14.2,33.5
,1548729035699,-56,-86,-90,11,33,29,29,14.2,33.5
,1548729036810,-60,-88,-95,11,33,29,29,14.2,33.5
,1548729040153,-63,-92,-91,11,33,29,29,14.2,33.5
,1548729043528,-63,-87,-91,11,33,29,29,14.2,33.5
,1548729044654,-64,-85,-94,11,33,29,29,14.2,33.5
,1548729045763,-62,-92,-95,11,33,29,29,14.2,33.5
,1548729046871,-64,-87,-95,11,33,29,29,14.2,33.5
,1548729493242,-61,-85,-94,11,33,29,29,14.2,33.5
,1548729498872,-57,-83,-89,11,33,29,29,14.2,33.5
,1548729511226,-55,-85,-89,11,33,29,29,14.2,33.5
,1548729524677,-58,-88,-92,11,33,29,29,14.2,33.5
,1548729528048,-57,-83,-85,11,33,29,29,14.2,33.5
,1548729534774,-59,-90,-95,11,33,29,29,14.2,33.5
,1548729537032,-59,-89,-94,11,33,29,29,14.2,33.5
,1548729539263,-61,-88,-96,11,33,29,29,14.2,33.5
,1548729553818,-60,-88,-94,11,33,29,29,14.2,33.5
,1548729559396,-56,-84,-91,11,33,29,29,14.2,33.5
,1548729561622,-64,-84,-97,11,33,29,29,14.2,33.5
,1548729562734,-64,-83,-97,11,33,29,29,14.2,33.5
,1548729566104,-60,-82,-95,11,33,29,29,14.2,33.5
,1548729568327,-59,-87,-96,11,33,29,29,14.2,33.5
,1548729569440,-59,-84,-94,11,33,29,29,14.2,33.5
,1548729573922,-57,-86,-90,11,33,29,29,14.2,33.5
,1548729581742,-58,-89,-93,11,33,29,29,14.2,33.5
,1548729613292,-71,-91,-89,11,33,29,29,14.2,33.5
,1548729614405,-69,-84,-89,11,33,29,29,14.2,33.5
,1548729621146,-58,-93,-95,11,33,29,29,14.2,33.5
,1548729623385,-61,-91,-93,11,33,29,29,14.2,33.5
,1548729624498,-60,-89,-93,11,33,29,29,14.2,33.5
,1548729625609,-69,-87,-90,11,33,29,29,14.2,33.5
,1548729626722,-69,-86,-89,11,33,29,29,14.2,33.5
,1548729627834,-69,-86,-90,11,33,29,29,14.2,33.5
,1548729628946,-69,-86,-88,11,33,29,29,14.2,33.5
,1548729636800,-58,-91,-93,11,33,29,29,14.2,33.5
,1548729641283,-68,-86,-90,11,33,29,29,14.2,33.5
,1548729642395,-68,-92,-90,11,33,29,29,14.2,33.5
,1548729643508,-68,-90,-91,11,33,29,29,14.2,33.5
,1548729650247,-60,-90,-92,11,33,29,29,14.2,33.5
,1548729652488,-61,-90,-94,11,33,29,29,14.2,33.5
,1548729653601,-61,-90,-94,11,33,29,29,14.2,33.5
,1548729654717,-68,-87,-91,11,33,29,29,14.2,33.5
,1548729671439,-81,-84,-95,11,33,29,29,14.2,33.5
,1548729672570,-77,-83,-94,11,33,29,29,14.2,33.5
,1548729675907,-74,-81,-94,11,33,29,29,14.2,33.5
,1548729678163,-74,-80,-94,11,33,29,29,14.2,33.5
,1548729681499,-67,-89,-91,11,33,29,29,14.2,33.5
,1548729688189,-80,-84,-99,11,33,29,29,14.2,33.5
,1548729692688,-74,-82,-93,11,33,29,29,14.2,33.5
,1548729700573,-81,-84,-93,11,33,29,29,14.2,33.5
,1548729702830,-79,-82,-95,11,33,29,29,14.2,33.5
,1548729703943,-82,-85,-94,11,33,29,29,14.2,33.5
,1548729707279,-73,-83,-94,11,33,29,29,14.2,33.5
,1548729716293,-83,-84,-93,11,33,29,29,14.2,33.5
,1548729721921,-72,-83,-94,11,33,29,29,14.2,33.5
,1548729723049,-74,-82,-95,11,33,29,29,14.2,33.5
,1548729737656,-75,-84,-92,11,33,29,29,14.2,33.5
,1548729739898,-74,-83,-87,11,33,29,29,14.2,33.5
,1548729765658,-58,-82,-89,11,33,29,29,14.2,33.5
,1548729777992,-67,-86,-96,11,33,29,29,14.2,33.5
,1548729779122,-67,-87,-94,11,33,29,29,14.2,33.5
,1548729780233,-60,-82,-89,11,33,29,29,14.2,33.5
,1548729783619,-60,-81,-87,11,33,29,29,14.2,33.5
,1548729791471,-65,-79,-96,11,33,29,29,14.2,33.5
,1548729792583,-66,-84,-95,11,33,29,29,14.2,33.5
,1548729794824,-66,-83,-89,11,33,29,29,14.2,33.5
,1548729799289,-59,-83,-88,11,33,29,29,14.2,33.5
,1548729811641,-61,-84,-91,11,33,29,29,14.2,33.5
,1548729820588,-66,-83,-92,11,33,29,29,14.2,33.5
,1548729821700,-66,-83,-95,11,33,29,29,14.2,33.5
,1548729822812,-66,-83,-95,11,33,29,29,14.2,33.5
,1548729825069,-60,-83,-91,11,33,29,29,14.2,33.5
,1548729836342,-64,-82,-93,11,33,29,29,14.2,33.5
,1548729837453,-65,-82,-94,11,33,29,29,14.2,33.5
,1548729856597,-71,-86,-92,11,33,29,29,14.2,33.5
,1548729857725,-71,-84,-89,11,33,29,29,14.2,33.5
,1548729858837,-70,-84,-89,11,33,29,29,14.2,33.5
,1548729861079,-80,-92,-98,11,33,29,29,14.2,33.5
,1548729862207,-78,-92,-97,11,33,29,29,14.2,33.5
,1548729866672,-74,-90,-93,11,33,29,29,14.2,33.5
,1548729868913,-74,-89,-93,11,33,29,29,14.2,33.5
,1548729870025,-70,-88,-94,11,33,29,29,14.2,33.5
,1548729872250,-70,-90,-88,11,33,29,29,14.2,33.5
,1548729873363,-71,-89,-87,11,33,29,29,14.2,33.5
,1548729875619,-76,-89,-94,11,33,29,29,14.2,33.5
,1548729877844,-77,-89,-96,11,33,29,29,14.2,33.5
,1548729890178,-70,-90,-86,11,33,29,29,14.2,33.5
,1548729895787,-75,-95,-92,11,33,29,29,14.2,33.5
,1548729899158,-75,-97,-92,11,33,29,29,14.2,33.5
,1548729911456,-74,-95,-91,11,33,29,29,14.2,33.5
,1548729959260,-77,-79,-97,11,33,29,29,14.2,33.5
