,timestamp,rssi1,rssi2,rssi3,x,y,block
341,2019-01-29 09:30:36.810,-60,-88,-95,11.55,17.85,21
342,2019-01-29 09:30:40.153,-63,-92,-91,11.55,17.85,21
343,2019-01-29 09:30:43.528,-63,-87,-91,11.55,17.85,21
344,2019-01-29 09:30:44.654,-64,-85,-94,11.55,17.85,21
345,2019-01-29 09:30:45.763,-62,-92,-95,11.55,17.85,21
346,2019-01-29 09:30:46.871,-64,-87,-95,11.55,17.85,21
347,2019-01-29 09:38:13.242,-61,-85,-94,12.6,16.8,22
348,2019-01-29 09:38:18.872,-57,-83,-89,12.6,16.8,22
349,2019-01-29 09:38:31.226,-55,-85,-89,12.6,16.8,22
350,2019-01-29 09:38:44.677,-58,-88,-92,12.6,16.8,22
351,2019-01-29 09:38:48.048,-57,-83,-85,12.6,16.8,22
352,2019-01-29 09:38:54.774,-59,-90,-95,12.6,16.8,22
353,2019-01-29 09:38:57.032,-59,-89,-94,12.6,16.8,22
354,2019-01-29 09:38:59.263,-61,-88,-96,12.6,16.8,22
355,2019-01-29 09:39:13.818,-60,-88,-94,12.6,16.8,22
356,2019-01-29 09:39:19.396,-56,-84,-91,12.6,16.8,22
357,2019-01-29 09:39:21.622,-64,-84,-97,12.6,16.8,22
358,2019-01-29 09:39:22.734,-64,-83,-97,12.6,16.8,22
359,2019-01-29 09:39:26.104,-60,-82,-95,12.6,16.8,22
360,2019-01-29 09:39:28.327,-59,-87,-96,12.6,16.8,22
361,2019-01-29 09:39:29.440,-59,-84,-94,12.6,16.8,22
362,2019-01-29 09:39:33.922,-57,-86,-90,12.6,16.8,22
363,2019-01-29 09:39:41.742,-58,-89,-93,12.6,16.8,22
364,2019-01-29 09:40:13.292,-71,-91,-89,12.6,17.85,23
365,2019-01-29 09:40:14.405,-69,-84,-89,12.6,17.85,23
366,2019-01-29 09:40:21.146,-58,-93,-95,12.6,17.85,23
367,2019-01-29 09:40:23.385,-61,-91,-93,12.6,17.85,23
368,2019-01-29 09:40:24.498,-60,-89,-93,12.6,17.85,23
369,2019-01-29 09:40:25.609,-69,-87,-90,12.6,17.85,23
370,2019-01-29 09:40:26.722,-69,-86,-89,12.6,17.85,23
371,2019-01-29 09:40:27.834,-69,-86,-90,12.6,17.85,23
372,2019-01-29 09:40:28.946,-69,-86,-88,12.6,17.85,23
373,2019-01-29 09:40:36.800,-58,-91,-93,12.6,17.85,23
374,2019-01-29 09:40:41.283,-68,-86,-90,12.6,17.85,23
375,2019-01-29 09:40:42.395,-68,-92,-90,12.6,17.85,23
376,2019-01-29 09:40:43.508,-68,-90,-91,12.6,17.85,23
377,2019-01-29 09:40:50.247,-60,-90,-92,12.6,17.85,23
378,2019-01-29 09:40:52.488,-61,-90,-94,12.6,17.85,23
379,2019-01-29 09:40:53.601,-61,-90,-94,12.6,17.85,23
380,2019-01-29 09:40:54.717,-68,-87,-91,12.6,17.85,23
381,2019-01-29 09:41:11.439,-81,-84,-95,13.65,16.8,24
382,2019-01-29 09:41:12.570,-77,-83,-94,13.65,16.8,24
383,2019-01-29 09:41:15.907,-74,-81,-94,13.65,16.8,24
384,2019-01-29 09:41:18.163,-74,-80,-94,13.65,16.8,24
